  -2013      14925       32482
  -2824      14914       32495
  -3639      14899       32512
  -4459      14876       32539
  -5300      14887       32526
  -6132      14841       32580
  -6995      14838       32583
  -7865      14813       32613
  -8759      14797       32632
  -9679      14787       32643
 -10617      14766       32669
 -11586      14746       32691
 -12594      14734       32706
 -13633      14714       32730
 -14705      14685       32763
 -15816      14649       32806
 -16974      14608       32854
 -18393      14730       32711
 -20163      15042       32344
 -20392      14181       33355
 -21575      13992       33577
  22940      14280       31736
  21572      14401       31896
  20112      14403       31893
  18703      14378       31924
  16766      13850       32588
  15554      13828       32616
  14439      13841       32599
  13359      13840       32601
  12330      13847       32592
  11342      13857       32580
  10378      13854       32583
 9522        13965       32444
 8765        14215       32130
 7842        14178       32176
 6950        14151       32210
 6079        14123       32245
 5223        14082       32296
 4387        14051       32335
 3574        14046       32341
 2767        14026       32366
 1966        13992       32410
 1177        13982       32422
 391     13955       32457
 -391        13947       32466
 -1173       13929       32489
 -1958       13930       32487
 -2744       13912       32510
 -3527       13861       32575
 -4331       13870       32563
 -5136       13849       32589
 -5962       13850       32588
 -6791       13827       32617
 -7642       13817       32630
 -8516       13810       32639
 -9399       13784       32672
 -10307      13759       32702
 -11250      13745       32721
 -12229      13734       32735
 -13219      13696       32782
 -14283      13692       32787
 -15368      13663       32823
 -16508      13637       32856
 -17809      13691       32789
 -19907      14256       32078
 -21338      14245       32092
 -19343      12041       34862
 22376       13328       31716
 21025       13430       31890
 19602       13432       31888
 18273       13441       31875
 17001       13439       31879
 15778       13422       31901
 14602       13394       31939
 13491       13374       31965
 12412       13338       32014
 11385       13310       32052
 10404       13291       32078
 9463        13279       32094
 8530        13236       32151
 7639        13215       32180
 6763        13176       32233
 5919        13158       32258
 5088        13127       32299
 4278        13110       32322
 3480        13089       32350
 2697        13084       32357
 1916        13047       32407
 1146        13031       32428
 381     13001       32468
 -382        13023       32438
 -1142       12981       32496
 -1906       12979       32499
 -2671       12959       32525
 -3441       12942       32548
 -4220       12931       32564
 -5008       12921       32577
 -5810       12916       32583
 -6614       12886       32623
 -7446       12881       32631
 -8293       12869       32646
 -9167       12864       32653
 -10049      12837       32690
 -10972      12827       32703
 -11904      12792       32750
 -12879      12768       32783
 -13914      12763       32790
 -14971      12736       32826
 -16091      12719       32848
 -17262      12698       32877
 -19519      13375       31964
 -21338      13630       31620
 -21464      12785       32760
 21813       12396       31741
 20523       12507       31891
 19112       12494       31909
 17805       12495       31908
 16563       12490       31915
 15380       12482       31927
 14248       12468       31947
 13156       12443       31984
 12120       12425       32009
 11130       12413       32026
 10181       12407       32035
 9232        12359       32104
 8332        12334       32140
 7459        12310       32175
 6606        12279       32220
 5778        12255       32255
 4976        12248       32266
 4181        12224       32300
 3399        12197       32339
 2632        12180       32364
 1872        12162       32390
 1122        12165       32386
 373     12148       32410
 -373        12133       32433
 -1117       12117       32456
 -1862       12095       32487
 -2614       12098       32482
 -3365       12075       32516
 -4124       12056       32544
 -4897       12055       32545
 -5634       11949       32699
 -6418       11929       32727
 -7220       11917       32745
 -8035       11894       32777
 -8868       11872       32809
 -9738       11868       32816
 -10630      11855       32834
 -11542      11833       32866
 -12488      11811       32898
 -13489      11804       32909
 -14511      11777       32948
 -15592      11759       32974
 -16722      11735       33009
 -18271      11944       32706
 -20500      12493       31911
 -20735      11783       32938
 21307       11426       31705
 20006       11505       31892
 18668       11516       31875
 18035       11943       31202
 16186       11519       31870
 15033       11513       31879
 13914       11490       31915
 12935       11544       31830
 11934       11545       31829
 10900       11472       31943
 9918        11407       32047
 9036        11416       32031
 9534        13319       29036
 7289        11352       32132
 6432        11283       32242
 5646        11299       32216
 4853        11273       32257
 4081        11260       32278
 3317        11230       32325
 2568        11217       32345
 1829        11209       32358
 1094        11192       32384
 364     11179       32405
 -364        11169       32421
 -1090       11158       32438
 -1820       11157       32440
 -2548       11130       32483
 -3286       11127       32487
 -4024       11101       32528
 -4782       11108       32517
 -5522       11052       32604
 -6324       11093       32540
 -7132       11107       32518
 -7927       11074       32570
 -8754       11059       32593
 -9615       11058       32596
 -10503      11054       32602
 -11419      11047       32613
 -12362      11033       32635
